ea_player_id,player_name,position,team,overall,acceleration,agility,strength,aggression,balance,body_checking,defensive_awareness,hand_eye,deking,discipline,durability,endurance,faceoffs,offensive_awareness,passing,poise,puck_control,shot_blocking,slapshot_accuracy,slapshot_power,speed,stick_checking,wristshot_accuracy,wristshot_power,shot_recovery,glove_high,glove_low,stick_high,stick_low,five_hole,poke_check,positioning,rebound_control,breakaway,puck_play_frequency,goalie_aggression,vision,source_url,listing_url,retrieved_utc
23576,Marie-Philip Poulin,CEN,Montreal Victoire,94,94,90,88,83,87,90,91,91,95,82,89,91,86,95,92,97,95,88,95,83,94,89,95,83,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ea.com/games/nhl/ratings/player-ratings/marie-philip-poulin/23576,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
23577,Ann-Renée Desbiens,G,Montreal Victoire,93,0,94,0,0,0,0,0,0,0,0,92,92,0,0,92,95,0,0,0,0,92,0,0,0,93,91,92,93,93,93,91,91,92,90,91,91,94,https://www.ea.com/games/nhl/ratings/player-ratings/ann-renee-desbiens/23577,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
23565,Renata Fast,RD,Toronto Sceptres,93,95,92,86,90,94,90,92,90,92,79,90,91,55,93,95,93,94,85,91,86,95,86,89,86,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ea.com/games/nhl/ratings/player-ratings/renata-fast/23565,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
23563,Sarah Fillier,RW,New York Sirens,93,94,93,85,84,87,86,92,94,94,80,90,90,74,95,96,95,93,84,91,84,94,86,95,85,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ea.com/games/nhl/ratings/player-ratings/sarah-fillier/23563,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
23598,Hilary Knight,RW,Seattle Torrent,93,90,88,93,87,93,91,93,95,94,85,91,88,66,95,95,96,95,92,92,86,92,91,95,86,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ea.com/games/nhl/ratings/player-ratings/hilary-knight/23598,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
23606,Aerin Frankel,G,Boston Fleet,92,0,94,0,0,0,0,0,0,0,0,95,95,0,0,88,93,0,0,0,0,95,0,0,0,94,95,94,92,94,88,96,88,88,91,86,85,91,https://www.ea.com/games/nhl/ratings/player-ratings/aerin-frankel/23606,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
24768,Taylor Heise,CEN,Minnesota Frost,92,93,89,85,78,85,85,89,88,93,85,86,85,80,94,94,90,92,84,87,82,93,85,94,83,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ea.com/games/nhl/ratings/player-ratings/taylor-heise/24768,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
23588,Megan Keller,LD,Boston Fleet,92,91,89,91,84,94,87,93,90,92,81,90,90,55,94,94,91,92,84,92,80,92,87,91,81,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ea.com/games/nhl/ratings/player-ratings/megan-keller/23588,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
23585,Lee Stecklein,LD,Minnesota Frost,92,87,86,85,81,85,84,96,85,89,86,90,87,55,91,92,95,89,84,85,80,88,85,91,80,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ea.com/games/nhl/ratings/player-ratings/lee-stecklein/23585,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
23602,Kendall Coyne Schofield,LW,Minnesota Frost,91,95,93,86,85,89,87,90,91,90,88,88,84,64,94,93,95,92,81,88,81,95,86,93,80,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ea.com/games/nhl/ratings/player-ratings/kendall-coyne-schofield/23602,https://www.ea.com/games/nhl/ratings/conferences-ratings/pwhl/4,2026-08-12T02:06:21.293Z
